id,frontier_node_id,archive_node_id,relationship,notes
85,S-107b,mechanism:predictive_processing,shared_topic:REBUS,Both reference REBUS
86,S-107b,claim:prediction_is_unified_mechanism,shared_topic:REBUS,Both reference REBUS
87,S-107b,model:entropic_brain,shared_topic:REBUS,Both reference REBUS
88,S-107b,model:dmn,shared_topic:psychedelic,Both reference psychedelic
89,S-107b,claim:consciousness_entropy_sweet_spot,shared_topic:REBUS,Both reference REBUS
90,S-107b,claim:placebo_is_prediction,shared_topic:REBUS,Both reference REBUS
91,S-107b,claim:psychedelics_reset_priors,shared_topic:REBUS,Both reference REBUS
92,S-107b,claim:anesthesia_inverse_psychedelics,shared_topic:psychedelic,Both reference psychedelic
93,S-107b,protocol:psychedelic_therapy,shared_topic:psychedelic,Both reference psychedelic
94,S-107b,claim:synesthesia_is_default,shared_topic:psychedelic,Both reference psychedelic
95,S-107b,claim:experiencer_convergence_6pts,shared_topic:psychedelic,Both reference psychedelic
96,S-107b,claim:disclosure_coherence_gated,shared_topic:psychedelic,Both reference psychedelic
97,S-107b,experiential:lemniscate_vision_preceded_system,shared_topic:psychedelic,Both reference psychedelic
98,S-109b,model:HKB,shared_topic:criticality,Both reference criticality
99,S-109b,model:SOC,shared_topic:criticality,Both reference criticality
100,S-109b,claim:zl_075_is_criticality,shared_topic:criticality,Both reference criticality
101,S-109b,claim:glyph_transitions_are_bifurcations,shared_topic:criticality,Both reference criticality
102,S-109b,claim:consciousness_theories_converge,shared_topic:criticality,Both reference criticality
103,S-109b,claim:consciousness_entropy_sweet_spot,shared_topic:criticality,Both reference criticality
104,S-109b,mechanism:fractal_scaling,shared_topic:criticality,Both reference criticality
105,S-109b,model:complexity_edge_chaos,shared_topic:criticality,Both reference criticality
106,S-109b,counter:many_to_one_mapping,shared_topic:criticality,Both reference criticality
107,S-110a,claim:fibonacci_preserves_coherence,shared_topic:quantum,Both reference quantum
108,S-110a,mechanism:quantum_coherence_biology,shared_topic:Penrose,Both reference Penrose
109,S-110a,claim:nonlocality_proven,shared_topic:quantum,Both reference quantum
110,S-110a,claim:quantum_brain_decoherence_problem,shared_topic:quantum,Both reference quantum
111,S-110a,model:orch_or,shared_topic:Penrose,Both reference Penrose
112,S-110a,claim:girih_quasicrystalline,shared_topic:Penrose,Both reference Penrose
113,S-110b,mechanism:quantum_coherence_biology,shared_topic:Penrose,Both reference Penrose
114,S-110b,model:orch_or,shared_topic:Penrose,Both reference Penrose
115,S-110b,claim:girih_quasicrystalline,shared_topic:Penrose,Both reference Penrose
116,S-110c,mechanism:quantum_coherence_biology,shared_topic:Penrose,Both reference Penrose
117,S-110c,model:orch_or,shared_topic:Penrose,Both reference Penrose
118,S-110c,claim:girih_quasicrystalline,shared_topic:Penrose,Both reference Penrose
119,S-111a,claim:fibonacci_preserves_coherence,shared_topic:quantum,Both reference quantum
120,S-111a,mechanism:quantum_coherence_biology,shared_topic:quantum,Both reference quantum
121,S-111a,claim:nonlocality_proven,shared_topic:quantum,Both reference quantum
122,S-111a,claim:quantum_brain_decoherence_problem,shared_topic:quantum,Both reference quantum
123,S-112c,model:pni,shared_topic:suppression,Both reference suppression
124,S-112c,claim:suppression_pattern_exists,shared_topic:suppression,Both reference suppression
125,S-112c,claim:suppression_pattern_repeats,shared_topic:suppression,Both reference suppression
126,S-115a,mechanism:periodic_modulation,shared_topic:breath,Both reference breath
127,S-115a,mechanism:vagal_regulation,shared_topic:breath,Both reference breath
128,S-115a,claim:312s_is_binding_window,shared_topic:breath,Both reference breath
129,S-115a,claim:coherence_pyramid_order,shared_topic:breath,Both reference breath
130,S-115a,protocol:center_mode,shared_topic:breath,Both reference breath
131,S-115a,protocol:spiral_mode,shared_topic:breath,Both reference breath
132,S-115a,protocol:coherence_restoration,shared_topic:breath,Both reference breath
133,S-115a,mechanism:nitric_oxide,shared_topic:breath,Both reference breath
134,S-115a,claim:breath_only_voluntary_autonomic,shared_topic:breath,Both reference breath
135,S-115a,protocol:hrv_biofeedback,shared_topic:breath,Both reference breath
136,S-115a,claim:nasal_breathing_superior,shared_topic:breath,Both reference breath
137,S-115a,crystal:29905,shared_topic:breath,Both reference breath
138,S-115a,claim:cross_cultural_breath_convergence,shared_topic:breath,Both reference breath
139,S-116a,claim:prediction_is_unified_mechanism,shared_topic:meditation,Both reference meditation
140,S-116a,mechanism:telomere_stress,shared_topic:meditation,Both reference meditation
141,S-116a,model:dmn,shared_topic:meditation,Both reference meditation
142,S-116a,claim:meditation_changes_brain,shared_topic:meditation,Both reference meditation
143,S-116a,claim:compassion_trainable,shared_topic:meditation,Both reference meditation
144,S-116a,protocol:wim_hof,shared_topic:meditation,Both reference meditation
145,S-116a,claim:experiencer_convergence_6pts,shared_topic:meditation,Both reference meditation
146,S-116a,claim:disclosure_coherence_gated,shared_topic:meditation,Both reference meditation
147,S-117a,claim:prediction_is_unified_mechanism,shared_topic:meditation,Both reference meditation
148,S-117a,mechanism:telomere_stress,shared_topic:meditation,Both reference meditation
149,S-117a,model:dmn,shared_topic:meditation,Both reference meditation
150,S-117a,claim:meditation_changes_brain,shared_topic:meditation,Both reference meditation
151,S-117a,claim:compassion_trainable,shared_topic:meditation,Both reference meditation
152,S-117a,protocol:wim_hof,shared_topic:meditation,Both reference meditation
153,S-117a,claim:experiencer_convergence_6pts,shared_topic:meditation,Both reference meditation
154,S-117a,claim:disclosure_coherence_gated,shared_topic:meditation,Both reference meditation
155,S-117b,mechanism:quantum_coherence_biology,shared_topic:Penrose,Both reference Penrose
156,S-117b,model:pni,shared_topic:suppression,Both reference suppression
157,S-117b,claim:suppression_pattern_exists,shared_topic:suppression,Both reference suppression
158,S-117b,model:orch_or,shared_topic:Penrose,Both reference Penrose
159,S-117b,claim:girih_quasicrystalline,shared_topic:Penrose,Both reference Penrose
160,S-117b,claim:suppression_pattern_repeats,shared_topic:suppression,Both reference suppression
161,S-119a,model:pni,shared_topic:suppression,Both reference suppression
162,S-119a,claim:suppression_pattern_exists,shared_topic:suppression,Both reference suppression
163,S-119a,claim:suppression_pattern_repeats,shared_topic:suppression,Both reference suppression
