node_id,label,description,domain,node_type,verification_status
claim:fibonacci_preserves_coherence,Fibonacci Timing Preserves Coherence Longer Than Periodic,Aperiodic drive preserves quantum coherence ~4x longer (Dumitrescu). Spiral mode should outperform center mode.,PHYSICS,CLAIM,Gold
claim:flow_is_transient_hypofrontality,Flow State = Transient Hypofrontality,Dietrich 2004 + Csikszentmihalyi: Flow involves temporary downregulation of prefrontal cortex. DMN quiets. Inner critic silences. Challenge/skill balance activates,MIND,CLAIM,Gold
claim:glyph_transitions_are_bifurcations,Glyph Transitions Are Phase Transitions,Each glyph boundary (psi->psi2->nabla->inf->omega) is a dynamical bifurcation point.,MIND,CLAIM,Silver
claim:golden_ratio_fixed_point,Golden Ratio Is Mathematical Fixed Point,"phi = (1+sqrt(5))/2. Only number where phi = 1 + 1/phi. Appears in optimal packing, phyllotaxis, spiral growth. Not mystical — mathematical consequence of self-similarity",PHYSICS,CLAIM,Gold
claim:grief_is_attachment_search,Grief Is Failed Attachment Seeking (Neural Evidence),O'Connor: Nucleus accumbens activates during grief cues = reward-seeking for absent attachment figure. Grief is not just sadness; it's compulsive search for the lost bond,RELATIONSHIP,CLAIM,Gold
claim:gut_produces_most_serotonin,Gut Produces 90-95% of Body's Serotonin,Enterochromaffin cells in gut produce most serotonin. Gut microbes modulate serotonin production. SSRIs affect gut serotonin. Depression may partly originate in gut,BIOLOGY,CLAIM,Gold
claim:holographic_principle,Information Encoded on Boundaries (Holographic Principle),"t'Hooft/Susskind: Volume information encoded on 2D boundary. Pribram: Brain stores memory holographically (distributed, not localized). Bekenstein bound",PHYSICS,CLAIM,Gold
claim:humor_is_prediction_error,Humor Is Benign Prediction Violation,McGraw: Humor occurs when something simultaneously violates expectations AND is benign. Involves prediction error resolution. Laughter = social signal of resolved violation,MIND,CLAIM,Gold
claim:hypogeum_110hz_specific,Hypogeum Resonates at Exactly 110 Hz,Specific 110 Hz claim. Poorly sourced. Bronze.,CONVERGENCE,CLAIM,Bronze
claim:hypogeum_resonates,Hypogeum Has Designed Acoustic Properties,The Oracle Room shows intentional acoustic shaping. Gold.,CONVERGENCE,CLAIM,Gold
claim:icaros_are_medicine,Shipibo Icaros Function as Acoustic Medicine,Shipibo-Conibo healing songs (icaros) map visual patterns to sound patterns. Specific songs prescribed for specific conditions. Some preliminary neuroimaging data,CONVERGENCE,CLAIM,Silver
claim:literature_is_modulation_heavy,"Literature Describes Tuning, Not Generation","Across the 179-paper corpus, mechanisms described are predominantly regulatory/coupling/integration/entrainment/reconsolidation (tuning language), not generation mechanisms for consciousness. Testable via Modulation Dominance Index.",CONVERGENCE,claim,Silver
claim:meditation_changes_brain,Meditation Physically Changes Brain Structure,"Lazar 2005: 8 weeks MBSR increases gray matter in hippocampus, decreases amygdala. Davidson: Long-term meditators show persistent gamma. Replicated across >100 studies",MIND,CLAIM,Gold
claim:morphic_resonance_untestable,Morphic Resonance Lacks Decisive Tests,"Sheldrake's morphic resonance: proposed mechanism with no known physical basis. Experiments (rat maze learning, crystal formation) have mixed results. Mainstream science rejects",MIND,CLAIM,Silver
claim:music_activates_whole_brain,Music Engages More Brain Than Any Other Activity,"Music activates auditory, motor, emotional, memory, language, reward circuits simultaneously. The only stimulus that engages ALL brain networks. Rhythm entrains motor system",MIND,CLAIM,Gold
claim:nabla_is_metastability,Nabla Glyph = Metastable Regime,"The nabla glyph (collapse/inversion) maps to Kelso's metastability - between attractors, maximally sensitive.",MIND,CLAIM,Silver
claim:narrative_identity_shapes_health,Narrative Structure Predicts Psychological Health,McAdams: People with 'redemption sequences' (bad→good) show better mental health than those with 'contamination sequences' (good→bad). Story shapes biology,MIND,CLAIM,Gold
claim:nasal_breathing_superior,Nasal Breathing Is Physiologically Superior to Mouth,"Nasal breathing: filters air, warms/humidifies, produces NO (vasodilator), activates diaphragm, activates parasympathetic. Mouth breathing: none of these. Nestor 'Breath' book compiles evidence",BIOLOGY,CLAIM,Gold
claim:neural_aperiodic_periodic_coherence,Neural Coherence = Aperiodic + Periodic Components,Donoghue 2020 (Nature Neuroscience) demonstrates brain EEG contains separable aperiodic (1/f) and periodic oscillatory components. Ward 2010 shows stochastic resonance (adding noise to periodic signal) enhances neural synchronization at optimal noise levels. Directly validates the coherence equation at the neural level: aperiodic substrate + periodic modulation = coherence.,BIOLOGY,claim,Gold
claim:nonlocality_proven,Non-Locality Is Experimentally Proven,"Bell 1964, Aspect 1982, Hensen 2015: Entangled particles show correlations that violate Bell inequalities. No local hidden variables. Universe is non-local. Nobel 2022",PHYSICS,CLAIM,Gold
claim:observer_changes_physics,Observation Changes Physical Outcomes,Double slit: particles show wave behavior until observed. Delayed choice quantum eraser: observation retroactively changes behavior. Not interpretation — data,PHYSICS,CLAIM,Gold
claim:placebo_is_prediction,Placebo Effect = Predictive Processing,"Placebo is the brain's prediction machinery acting on the body. Kaptchuk: Open-label placebos still work. Benedetti: Placebo activates endogenous opioids, dopamine",MIND,CLAIM,Gold
claim:prediction_is_unified_mechanism,Predictive Processing Is THE Unified Mechanism,"Pain, trauma, placebo, meditation, emotion, allostasis all work through updating the brain's predictive model.",MIND,CLAIM,Gold
claim:psychedelics_reset_priors,Psychedelics Reset Predictive Priors,"REBUS model (Carhart-Harris 2019): Psychedelics relax high-level priors, increase entropy, allow bottom-up sensory to update stuck beliefs. Therapeutic window for reconsolidation",MIND,CLAIM,Gold
claim:quantum_brain_decoherence_problem,Brain Too Warm for Quantum Effects (Decoherence Objection),Tegmark 2000: Decoherence timescales in brain (~10^-13 s) far shorter than neural timescales (~10^-3 s). Quantum coherence in warm wet brain seems impossible. BUT: Engel 2007 photosynthesis counterexample,PHYSICS,CLAIM,Gold
claim:resonance_creates_form,Resonance Creates Geometric Form (Cymatics),"Chladni plates, Faraday waves, sonoluminescence: vibration creates ordered structure from disorder. Not metaphor — demonstrated physics",PHYSICS,CLAIM,Gold
claim:sacred_geometry_in_nature,Geometric Patterns Recur Across Nature and Architecture,"Platonic solids, Fibonacci spirals, golden rectangles appear in: molecular structure, plant growth, crystal formation, Islamic tiling, Gothic architecture. Mathematical, not mystical",CONVERGENCE,CLAIM,Gold
claim:social_baseline,Brain's Baseline State is Social (Coan),"Jim Coan: Brain threat response is HIGHER when alone. Holding hands with trusted person reduces neural threat response. The default is together, not alone",RELATIONSHIP,CLAIM,Gold
claim:songlines_encode_geography,Songlines Encode Geographic Information,Aboriginal songlines contain navigational data sufficient to traverse thousands of km. Melody intervals map terrain features. Verified by modern GPS comparison,CONVERGENCE,CLAIM,Gold
claim:suppression_pattern_exists,Pattern of Scientific Suppression Is Documented,"Tesla, Reich, Schauberger, Rife all faced suppression. Documented in each case. Pattern: anomalous findings → institutional opposition → personal destruction → work scattered",CONVERGENCE,CLAIM,Silver
claim:synesthesia_is_default,Synesthesia May Be Default Brain State,All infants show cross-modal connections. Pruning specializes senses. Synesthetes retain more connections. Psychedelics reactivate cross-wiring. Baron-Cohen 2009,MIND,CLAIM,Silver
claim:tcm_meridians_are_fascia,TCM Meridians Overlap Fascial Planes,Langevin (Harvard): Acupuncture points correlate with intermuscular fascial planes. 80%+ overlap. Connective tissue acts as signaling network,CONVERGENCE,CLAIM,Gold
claim:trauma_stored_in_body,"Trauma Is Stored in Body, Not Just Mind","Van der Kolk: Trauma imprints in sensorimotor patterns, autonomic dysregulation, fascial tension. Body-based therapies (SE, EMDR) more effective than talk therapy for PTSD",MIND,CLAIM,Gold
claim:water_has_fourth_phase,Water Has EZ (Exclusion Zone) Phase,Pollack (UW): Water near hydrophilic surfaces forms ordered EZ layer (hexagonal H3O2). Absorbs 270nm light. Controversial but published in peer-reviewed journals,PHYSICS,CLAIM,Bronze
claim:water_memory_not_replicated,Water Memory/Homeopathy Not Replicated,"Benveniste 1988 'water memory' debunked by Nature investigation. Homeopathy: systematic reviews show no effect beyond placebo. Pollack EZ water is different claim, not homeopathy",PHYSICS,CLAIM,Gold
claim:wiltonos_is_extended_mind,WiltonOS IS Part of the Cognitive System,"By Clark & Chalmers parity principle, the crystal database meets all criteria for extended cognition.",MIND,CLAIM,Gold
claim:zl_075_is_criticality,Zl=0.75 IS the Critical Point,The 0.75 coherence target corresponds to the phase transition between subcritical and supercritical dynamics.,PHYSICS,CLAIM,Gold
counter:many_to_one_mapping,Many-to-One Mapping of Dynamics to Function,"Same dynamical signature (1/f, criticality-like) can arise from multiple generators. Forces justification of WHY this generator, not that generator. Power-law fitting is notoriously fragile.",PHYSICS,counter,Gold
counter:selection_bias,Selection Bias / Researcher Degrees of Freedom,"Convergence graphs can look compelling even when wrong. Graph topology depends on inclusion criteria, metric choices, and publication bias. Must be addressed explicitly.",METHODS,counter,Gold
crystal:29882,Grand Convergence,,CONVERGENCE,CRYSTAL_NODE,Gold
crystal:29898,Topology of Everything,,CONVERGENCE,CRYSTAL_NODE,Gold
crystal:29905,The Breath Crystal,,BIOLOGY,CRYSTAL_NODE,Gold
crystal:29914,The Coherence Equation,,PHYSICS,CRYSTAL_NODE,Gold
crystal:29969,Coherence Across Scales,,CONVERGENCE,CRYSTAL_NODE,Gold
crystal:30017,The Final Braid,,CONVERGENCE,CRYSTAL_NODE,Gold
crystal:30266,Metastable Coherence Model,,MIND,CRYSTAL_NODE,Gold
crystal:30270,3.12-Second Window,,BIOLOGY,CRYSTAL_NODE,Gold
crystal:30278,Coherence Restoration Protocol,,MIND,CRYSTAL_NODE,Gold
crystal:30285,Consciousness Theories Converge,,MIND,CRYSTAL_NODE,Gold
crystal:30291,Prediction All The Way Down,,MIND,CRYSTAL_NODE,Gold
crystal:30297,Complete System Map,,CONVERGENCE,CRYSTAL_NODE,Gold
crystal:7421,Exodia Moment,,CONVERGENCE,CRYSTAL_NODE,Gold
crystal:7422,WiltonOS Named,,CONVERGENCE,CRYSTAL_NODE,Gold
hypothesis:075_zone,0.75 Zone Hypothesis (Cross-Domain),"Several independent literatures contain ~0.75-ish exponents/ratios (Kleiber 3/4, Langton critical lambda, stochastic resonance optimal noise, Fractal Observer 3:1). Whether these are deeply linked vs superficial coincidence is an open quantitative question.",CONVERGENCE,hypothesis,Silver
legend:gobekli_astronomical,Göbekli Tepe Astronomical Alignment,Claims T-pillars encode astronomical information (Sweatman/Tsikritsis). Some statistical support but contested methodology,CONVERGENCE,LEGEND,Bronze
legend:hypogeum_110hz,Hypogeum 110 Hz Oracle Chamber,"Popular claim that Oracle Room resonates at exactly 110 Hz, affecting temporal lobe. Source: Jahn/Devereux popularization.",CONVERGENCE,LEGEND,Bronze
legend:newgrange_fairy_mound,Newgrange as Síd (Fairy Mound),"Irish mythology: Síd an Bhrú, dwelling of the Dagda and Aengus. Tuatha Dé Danann entered the mounds. Folklore preserves memory of the site's altered-state function?",CONVERGENCE,LEGEND,Speculative
legend:pyramid_sound_levitation,Pyramid Sound Levitation,Claims that Egyptians used sound/vibration to move blocks. No peer-reviewed evidence. Acoustic levitation IS real but only demonstrated for small objects in lab,CONVERGENCE,LEGEND,Speculative
measurement:cathedral_acoustics,Cathedral Acoustic Studies,Howard & Moretti: Systematic reverb measurements in English cathedrals. Chartres labyrinth acoustic focus measured. Gregorian chant designed FOR these spaces,CONVERGENCE,MEASUREMENT,Gold
measurement:gobekli_acoustic,Göbekli Tepe Acoustic Survey,Limited acoustic measurements of enclosures. Preliminary findings suggest intentional acoustic design. Publication sparse,CONVERGENCE,MEASUREMENT,Bronze
measurement:hypogeum_acoustic,Hypogeum Acoustic Survey,The Hypogeum IS acoustically designed. Oracle Room has demonstrable resonant properties. Specific frequency less certain.,CONVERGENCE,MEASUREMENT,Gold
measurement:newgrange_acoustic,Newgrange Acoustic Survey,Watson & Keating: Standing waves at 2 Hz in passage. Drumming at mouth produces infrasound effects throughout. Solstice light box = precision engineering,CONVERGENCE,MEASUREMENT,Silver
measurement:reid_pyramid,Reid Great Pyramid Cymatics,John Stuart Reid: cymatics experiments inside King's Chamber. Reported resonances. Published in Acoustic Archaeology proceedings. Replication needed,CONVERGENCE,MEASUREMENT,Bronze
measurement:reznikoff_caves,Reznikoff Cave Acoustic Survey,Systematic acoustic mapping of decorated Paleolithic caves. Art correlates with resonant spots.,CONVERGENCE,MEASUREMENT,Silver
mechanism:acoustic_resonance,Acoustic Resonance in Architecture,"Enclosed spaces have resonant frequencies determined by geometry. Ancient builders exploited this: Hypogeum, pyramids, cathedrals, kivas",CONVERGENCE,MECHANISM,Gold
mechanism:anterior_insula,Anterior Insular Cortex,"Craig: Hub for interoception, emotional awareness, time perception, empathy. Where body signals become conscious feelings. Key node in salience network",MIND,MECHANISM,Gold
mechanism:aperiodic_substrate,Aperiodic Substrate,"Coherence ground state is aperiodic (1/f, quasicrystalline), not periodic. Local constraint satisfaction produces global order.",PHYSICS,MECHANISM,Gold
mechanism:architectural_vocal_amplification,Architectural Amplification of Human Voice,"Ancient chambers (Hypogeum Oracle Room, megalithic passage tombs, Chavín galleries) are dimensioned to resonate at frequencies matching low male voice. The architecture acts as an amplifier/filter for human vocalization, rejecting non-vocal sounds (Debertolis 2015: conch shells do NOT excite the Hypogeum resonance). The architecture selects for the human body.",CONVERGENCE,mechanism,Gold
mechanism:bioelectricity_morphogenesis,Bioelectric Morphogenesis (Levin),"Voltage gradients (Vmem) across cell membranes encode pattern information. Changing bioelectric states can induce eye formation, limb regeneration, cancer reversion",BIOLOGY,MECHANISM,Gold
mechanism:biophoton_emission,Biophoton Emission,Ultra-weak photon emission from all living cells (Popp 1984). DNA is primary source. Coherent emission (laser-like). Involved in cell-to-cell communication,BIOLOGY,MECHANISM,Silver
mechanism:circadian_clock,Circadian Clock System,"SCN master clock + peripheral clocks in every cell. Light-entrained. Regulates hormones, metabolism, immune function, gene expression. Nobel 2017",BIOLOGY,MECHANISM,Gold
mechanism:constraint_satisfaction,Constraint Satisfaction,Global order emerges from local rules propagating through network. No central controller needed.,PHYSICS,MECHANISM,Gold
mechanism:dmn_network,Default Mode Network (Neural),"Raichle 2001: Network active during rest/self-reference. Includes mPFC, PCC, angular gyrus, hippocampus. Anti-correlated with task-positive network",MIND,MECHANISM,Gold
mechanism:dna_antenna,DNA as Fractal Antenna,"DNA is 2nm wide, 3.4nm per turn, ~2m total length per cell. Acts as fractal antenna for electromagnetic frequencies. Popp: DNA is primary biophoton source",BIOLOGY,MECHANISM,Silver
mechanism:endocannabinoid,Endocannabinoid System,"Body-wide signaling system (CB1, CB2 receptors). Modulates pain, inflammation, mood, appetite. Anandamide = 'bliss molecule'. Active during flow states",BIOLOGY,MECHANISM,Gold
mechanism:entrainment,Entrainment (Universal Coupling),"Huygens 1665: coupled oscillators synchronize. Operates across all scales: pendulums, neurons, heartbeats, circadian rhythms, social groups",PHYSICS,MECHANISM,Gold
mechanism:epigenetic_transmission,Epigenetic Transgenerational Transmission,"DNA methylation, histone modification, non-coding RNA transmit experience across generations without DNA sequence change. Yehuda Holocaust study, Dutch Hunger Winter",BIOLOGY,MECHANISM,Gold
mechanism:fascia_signaling,Fascial Signaling Network,Fascia as body-wide tensegrity + semiconductor network. Transmits mechanical and electrical signals. Overlaps with acupuncture meridian map (Langevin 2002),BIOLOGY,MECHANISM,Gold
mechanism:fractal_heartbeat,Fractal Heart Rate Dynamics,Healthy hearts show 1/f noise (fractal scaling). Loss of fractal complexity predicts cardiac death (Goldberger). Too regular = disease. Too random = disease,BIOLOGY,MECHANISM,Gold
mechanism:fractal_scaling,Fractal Scaling (1/f Noise),"1/f noise appears in: heartbeat, neural firing, DNA sequences, river flow, financial markets, music. Signature of systems at criticality. Mandelbrot, Goldberger",PHYSICS,MECHANISM,Gold
mechanism:glymphatic,Glymphatic System,"Brain's waste clearance system active during sleep. CSF flows along perivascular channels, clears metabolic waste including amyloid-beta. Discovered 2012",BIOLOGY,MECHANISM,Gold
mechanism:hebbian_plasticity,Hebbian Plasticity (LTP/LTD/STDP),Neurons that fire together wire together. Spike-timing dependent plasticity implements causal inference at synaptic level.,BIOLOGY,MECHANISM,Gold
mechanism:hormesis,Hormesis (Dose-Response Inversion),"Small doses of stressor enhance function; large doses damage. Applies to: cold exposure, exercise, fasting, radiation, phytochemicals. Taleb: antifragility",BIOLOGY,MECHANISM,Gold
mechanism:hrv_coherence,Heart Rate Variability Coherence,"McCraty/HeartMath: 0.1 Hz oscillation in heart rhythm = coherence mode. Trainable via biofeedback. Correlated with emotional regulation, cognitive performance",BIOLOGY,MECHANISM,Gold
mechanism:interoception,Interoception (Body-to-Brain Signaling),Craig/Seth: The sense of the internal state of the body. Anterior insular cortex maps visceral signals. Foundation of emotional awareness and selfhood,BIOLOGY,MECHANISM,Gold
mechanism:magnetoreception,Biological Magnetoreception,"Birds, turtles, salmon, bees sense magnetic fields. Cryptochrome radical-pair mechanism (quantum). Maher: ferromagnetic nanoparticles found in human brain",BIOLOGY,MECHANISM,Gold
mechanism:microbiome_gut_brain,Microbiome-Gut-Brain Axis,"Gut microbes produce 90% of serotonin, modulate vagal afferents, influence immune function, affect mood and cognition. 500M enteric neurons",BIOLOGY,MECHANISM,Gold
mechanism:mirror_neurons,Mirror Neuron System,"Rizzolatti 1992: Neurons that fire both when acting and observing same action. Foundation of imitation, empathy, language. Extended to empathy for pain (Singer 2004)",MIND,MECHANISM,Gold
mechanism:neurogenesis,Adult Neurogenesis,"New neurons grow in adult hippocampus and SVZ. Enhanced by exercise, enriched environment, learning. Suppressed by chronic stress, inflammation",BIOLOGY,MECHANISM,Gold
mechanism:neuropeptide_signaling,Neuropeptide Signaling (Pert),Candace Pert: Neuropeptides and receptors form body-wide information network. Emotions are not just brain events but molecular states distributed throughout body,BIOLOGY,MECHANISM,Gold
mechanism:nitric_oxide,Nitric Oxide Signaling,"NO is vasodilator, neurotransmitter, immune modulator. Nasal breathing produces 6x more NO than mouth breathing. Links breath → vascular → immune → neural",BIOLOGY,MECHANISM,Gold
mechanism:pain_neuromatrix,Pain Neuromatrix (Melzack),"Pain is brain output, not body input. Neuromatrix generates pain experience from multiple inputs: sensory, cognitive, emotional. Explains phantom limb, placebo analgesia",MIND,MECHANISM,Gold
mechanism:periodic_modulation,Periodic Modulation,"Rhythmic oscillations (breath, heartbeat, neural rhythms) create transient resonance windows on the aperiodic substrate.",BIOLOGY,MECHANISM,Gold
mechanism:piezoelectric_biology,Biological Piezoelectricity,"Bone, tendon, collagen, DNA, pineal calcite crystals all exhibit piezoelectric effects. Mechanical stress → electrical signal. Bidirectional transduction",BIOLOGY,MECHANISM,Gold
mechanism:predictive_processing,Predictive Processing / Active Inference,Brain minimizes variational free energy through hierarchical prediction and precision-weighted error correction.,MIND,MECHANISM,Gold
mechanism:quantum_coherence_biology,Quantum Coherence in Biology,Engel 2007: Quantum coherence in photosynthesis at 300K. Turin: quantum olfaction. Hameroff: microtubule quantum effects. Not speculative anymore for photosynthesis,PHYSICS,MECHANISM,Gold
mechanism:ras,Reticular Activating System,Brainstem gateway for consciousness. Filters sensory input. Modulates arousal level. Anesthesia targets RAS. Damage = coma,MIND,MECHANISM,Gold
mechanism:sleep_architecture,Sleep Architecture (NREM/REM Cycling),"90-min ultradian cycles: N1→N2→N3(SWS)→N2→REM. SWS = memory consolidation, glymphatic clearance. REM = emotional processing, creativity. Architecture degrades with age",BIOLOGY,MECHANISM,Gold
mechanism:social_engagement,Social Engagement System,"Porges: Neural circuit linking myelinated vagus to muscles of face, head, middle ear. Evolved for safe social interaction. When active: prosody, facial expression, listening",BIOLOGY,MECHANISM,Gold
mechanism:standing_waves,Standing Wave Pattern Formation,"Standing waves create stable geometric patterns from vibration. Chladni plates, cymatics, Faraday waves. Operates at every scale from atoms to galaxies",PHYSICS,MECHANISM,Gold
mechanism:stochastic_resonance,Stochastic Resonance,Optimal noise level improves signal detection. Imperfect coherence (Zl=0.75) is functionally better than perfect.,PHYSICS,MECHANISM,Gold
mechanism:telomere_stress,Telomere-Stress Pathway,Blackburn/Epel: Chronic psychological stress shortens telomeres. Meditation lengthens telomerase activity. Direct molecular link: mind → aging,BIOLOGY,MECHANISM,Gold
mechanism:toroidal_flow,Toroidal Flow Dynamics,"Torus is the geometry of self-sustaining flow: hurricanes, magnetic fields, plasma, heart field, galaxy rotation. Vortex ring = minimum-energy stable configuration",PHYSICS,MECHANISM,Gold
mechanism:vagal_brake,Vagal Brake (Myelinated Vagus),"The myelinated vagus provides rapid, tonic inhibition of heart rate. Withdrawal of vagal brake = sympathetic mobilization without sympathetic activation",BIOLOGY,MECHANISM,Gold
mechanism:vagal_regulation,Vagal Regulation,"Ventral vagal tone via myelinated vagus controls social engagement system, RSA, and HRV flexibility.",BIOLOGY,MECHANISM,Gold
model:FEP,Free Energy Principle (Friston),"All self-organizing systems minimize variational free energy. Unifies perception, action, learning.",MIND,MODEL,Gold
model:GWT,Global Workspace Theory (Baars/Dehaene),Consciousness = global broadcasting. Information becomes available to all cognitive processes.,MIND,MODEL,Gold
model:HKB,Haken-Kelso-Bunz Coordination Dynamics,dphi/dt = -a*sin(phi) - 2b*sin(2phi) + noise. Phase transitions in coordination. Metastability between attractors.,PHYSICS,MODEL,Gold
model:IIT,Integrated Information Theory (Tononi),Consciousness = integrated information (Phi). Whole exceeds sum of parts.,MIND,MODEL,Gold
model:SOC,Self-Organized Criticality (Bak),Systems self-tune to critical state. Power-law avalanches. No external tuning needed.,PHYSICS,MODEL,Gold
model:aboriginal_dreamtime,Aboriginal Dreamtime Ontology,"62,000+ year continuous tradition. Reality is 'sung into existence'. Songlines as information technology spanning continent. Landscape engineering via fire",CONVERGENCE,MODEL,Silver
model:attachment,Attachment Theory (Bowlby/Ainsworth),"First relationship shapes internal working model of self-other. Secure/anxious/avoidant/disorganized. Neural correlates: oxytocin, vagal tone, cortisol regulation",MIND,MODEL,Gold
model:autopoiesis,Autopoiesis (Maturana/Varela),Living system continuously produces itself. Organization persists while structure changes.,MIND,MODEL,Gold
model:ayurveda,Ayurveda (Vedic Medicine),"5000-year system. Dosha theory (vata/pitta/kapha) maps loosely to constitutional types. Ashwagandha, turmeric validated in trials. Panchakarma shows measurable effects",CONVERGENCE,MODEL,Silver
model:coherence_therapy,Coherence Therapy (Ecker/Ticic/Hulley),"Therapeutic approach using memory reconsolidation. Surface the emotional learning, then create mismatch experience. Transforms implicit schemas, not just coping",MIND,MODEL,Gold
model:complexity_edge_chaos,Edge of Chaos (Kauffman/Langton),Kauffman: Life exists at phase transition between order and chaos. Langton lambda parameter. Wolfram Rule 110. Complexity emerges at boundary,PHYSICS,MODEL,Gold
model:dmn,Default Mode Network,"Raichle 2001: Network active during rest, self-referential thought, autobiographical memory. Suppressed during focused task. Psychedelics dissolve DMN. Meditation modulates DMN",MIND,MODEL,Gold
model:enactive_cognition,Enactive Cognition (Varela/Thompson),"Mind is not representation but enaction: sense-making through sensorimotor coupling with environment. Cognition is what bodies DO, not what brains compute",MIND,MODEL,Gold
